DATA,SESSAO,HORA,PRECO_PT,PRECO_ES
6/08/2015,0,21,62.93,62.93
6/08/2015,0,22,68.1,68.1
6/08/2015,0,23,66.6,66.6
6/08/2015,0,24,61.1,61.1
6/08/2015,1,1,68.72,68.72
6/08/2015,1,2,64.66,64.66
6/08/2015,1,3,57.05,57.05
6/08/2015,1,4,54.12,54.12
6/08/2015,1,5,53.66,53.66
6/08/2015,1,6,55.68,55.68
6/08/2015,1,7,63.99,63.99
6/08/2015,1,8,65.96,65.96
6/08/2015,1,9,67.04,67.04
6/08/2015,1,10,70.69,70.69
6/08/2015,1,11,71.26,71.26
6/08/2015,1,12,71.72,71.72
6/08/2015,1,13,71.94,71.94
6/08/2015,1,14,70.69,70.69
6/08/2015,1,15,68.28,68.28
6/08/2015,1,16,65.51,65.51
6/08/2015,1,17,64.99,64.99
6/08/2015,1,18,65.48,65.48
6/08/2015,1,19,65.48,65.48
6/08/2015,1,20,64.66,64.66
6/08/2015,1,21,65.94,65.94
6/08/2015,1,22,70.69,70.69
6/08/2015,1,23,69.6,69.6
6/08/2015,1,24,63.9,63.9
6/08/2015,2,1,70.47,70.47
6/08/2015,2,2,67.9,67.9
6/08/2015,2,3,59,59
6/08/2015,2,4,56.14,56.14
6/08/2015,2,5,55.65,55.65
6/08/2015,2,6,56.13,56.13
6/08/2015,2,7,66.09,66.09
6/08/2015,2,8,67.59,67.59
6/08/2015,2,9,69.14,69.14
6/08/2015,2,10,71.95,71.95
6/08/2015,2,11,72.67,72.67
6/08/2015,2,12,72.67,72.67
6/08/2015,2,13,72.67,72.67
6/08/2015,2,14,72.02,72.02
6/08/2015,2,15,70.27,70.27
6/08/2015,2,16,68.2,68.2
6/08/2015,2,17,67.99,67.99
6/08/2015,2,18,68.2,68.2
6/08/2015,2,19,67.58,67.58
6/08/2015,2,20,66.33,66.33
6/08/2015,2,21,67.9,67.9
6/08/2015,2,22,72.09,72.09
6/08/2015,2,23,71.26,71.26
6/08/2015,2,24,66.74,66.74
6/08/2015,3,5,63.25,63.25
6/08/2015,3,6,63.2,63.2
6/08/2015,3,7,70.43,70.43
